NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR;STATUS_FXI3S;STATUS_DXI3S
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250724;2.0;1;16.3;1;452;9;23.7;1;1356;9;18.7;1;20.0;1;7.4;1;15.3;9;15.7;9;0;9;3.0;1;;;6.2;1;10;1;1145;9;11.9;1;10;1;1141;9;;;;;;;10.7;1;10;1;1141;9;139;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250725;0.0;1;16.5;1;432;9;26.9;1;1630;9;21.3;1;21.7;1;10.4;1;14.0;9;15.3;9;0;9;2.2;1;;;4.5;1;360;1;1649;9;8.8;1;350;1;1642;9;;;;;;;7.5;1;350;1;1636;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250726;1.4;1;17.2;1;423;9;26.8;1;1602;9;21.4;1;22.0;1;9.6;1;15.8;9;16.5;9;0;9;2.7;1;;;4.8;1;330;1;1844;9;11.2;1;320;1;1837;9;;;;;;;10.4;1;320;1;1837;9;94;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250727;2.2;1;16.6;1;1739;9;23.3;1;1409;9;18.6;1;20.0;1;6.7;1;15.3;9;15.3;9;0;9;2.8;1;;;7.1;1;10;1;1459;9;12.4;1;30;1;1444;9;;;;;;;11.5;1;30;1;1455;9;57;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250728;0.0;1;16.4;1;416;9;23.5;1;1621;9;19.2;1;20.0;1;7.1;1;14.6;9;15.6;9;0;9;2.8;1;;;4.8;1;340;1;20;9;9.8;1;320;1;1137;9;;;;;;;8.7;1;320;1;15;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250729;0.0;1;14.1;1;401;9;23.3;1;1149;9;18.9;1;18.7;1;9.2;1;10.7;9;13.0;9;0;9;2.0;1;;;4.9;1;340;1;1604;9;10.0;1;330;1;1600;9;;;;;;;8.1;1;300;1;1116;9;2;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250730;2.7;1;16.6;1;449;9;24.9;1;1608;9;20.5;1;20.8;1;8.3;1;13.8;9;15.7;9;0;9;2.5;1;;;4.9;1;330;1;1107;9;11.4;1;330;1;1059;9;;;;;;;10.0;1;330;1;1059;9;20;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250731;3.8;1;16.2;1;445;9;25.0;1;1309;9;20.9;1;20.6;1;8.8;1;13.2;9;15.3;9;0;9;2.5;1;;;4.6;1;250;1;1529;9;8.7;1;280;1;1430;9;;;;;;;8.0;1;250;1;1310;9;57;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250801;1.5;1;17.9;1;532;9;23.5;1;1217;9;19.6;1;20.7;1;5.6;1;15.1;9;16.7;9;0;9;3.2;1;;;5.8;1;340;1;1325;9;12.2;1;290;1;1411;9;;;;;;;11.2;1;280;1;1729;9;22;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250802;0.0;1;14.7;1;401;9;22.5;1;1630;9;18.2;1;18.6;1;7.8;1;12.3;9;13.7;9;0;9;3.0;1;;;5.3;1;20;1;803;9;9.5;1;330;1;1337;9;;;;;;;8.8;1;320;1;1610;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250803;0.0;1;14.3;1;225;9;25.6;1;1518;9;20.3;1;20.0;1;11.3;1;10.6;9;13.3;9;0;9;2.3;1;;;4.7;1;330;1;1837;9;9.2;1;290;1;1450;9;;;;;;;8.3;1;310;1;1831;9;;;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250804;4.0;1;18.5;1;418;9;29.5;1;1656;9;23.5;1;24.0;1;11.0;1;15.6;9;17.2;9;0;9;2.9;1;;;5.0;1;240;1;1538;9;10.0;1;210;1;1322;9;;;;;;;9.5;1;210;1;1322;9;92;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250805;0.0;1;17.1;1;651;9;23.1;1;1448;9;19.7;1;20.1;1;6.0;1;16.4;9;16.6;9;0;9;3.6;1;;;6.3;1;340;1;1507;9;14.4;1;320;1;317;9;;;;;;;12.5;1;320;1;317;9;0;9;0;1
