year,CO2_ppm,Temp_Anomaly_C,CO2_Growth,Temp_5yr_MA
2018,408.715,0.8475,1.9574999999999818,0.91178
2018,408.715,0.7627,0.0,0.86166
2019,411.64916666666664,0.9758,2.9341666666666697,0.8702400000000001
2019,411.64916666666664,0.8911,0.0,0.86446
2020,414.21333333333337,1.0092,2.564166666666722,0.89726
2020,414.21333333333337,0.9229,0.0,0.91234
2021,416.4141666666667,0.8483,2.200833333333321,0.9294600000000001
2021,416.4141666666667,0.7619,0.0,0.8866800000000001
2022,418.52833333333336,0.8933,2.1141666666666765,0.8871200000000001
2022,418.52833333333336,0.8013,0.0,0.8455400000000001
2023,421.0758333333333,1.1692,2.547499999999957,0.8948
2023,421.0758333333333,1.1003,0.0,0.9452
2024,424.6041666666667,1.1755,3.5283333333333644,1.02792
